出表日期,公司代號,公司名稱,大股東名稱
1130525,1259,安心,日商魔術食品服務股份有限公司
1130525,1259,安心,光元實業股份有限公司
1130525,1264,德麥,吳文欽
1130525,1268,漢來美食,又達興業股份有限公司
1130525,1336,台翰,宣德科技股份有限公司
1130525,1584,精剛,台灣鋼鐵股份有限公司
1130525,1584,精剛,榮剛材料科技股份有限公司
1130525,1742,台蠟,遠進股份有限公司
1130525,1777,生泰,生達化學製藥股份有限公司
1130525,1777,生泰,百事達投資股份有限公司
1130525,1788,杏昌,杏昌投資股份有限公司
1130525,1796,金穎生技,生展生物科技股份有限公司
1130525,1799,易威,中華世紀投資股份有限公司
1130525,1813,寶利徠,寶島光學科技股份有限公司
1130525,1815,富喬,達泰投資股份有限公司
1130525,2035,唐榮公司,經濟部
1130525,2035,唐榮公司,臺灣銀行股份有限公司
1130525,2035,唐榮公司,燁輝企業股份有限公司
1130525,2035,唐榮公司,聯輝開發股份有限公司
1130525,2061,風青,明泰投資股份有限公司
1130525,2061,風青,陳福得
1130525,2063,世鎧,杜泰源
1130525,2064,晉椿,建新電機有限公司
1130525,2065,世豐,麗泰股份有限公司
1130525,2066,世德,世紀投資股份有限公司
1130525,2066,世德,陳光裕
1130525,2067,嘉鋼,維昱股份有限公司
1130525,2070,精湛,吳俊男
1130525,2070,精湛,洋鎧投資股份有限公司
1130525,2073,雄順,陳啟祥
1130525,2221,大甲,黃士（上：山＋下：夆）
1130525,2235,謚源,吳碣石
1130525,2235,謚源,威竑投資有限公司
1130525,2235,謚源,陳桂英
1130525,2235,謚源,堤維西交通工業股份有限公司
1130525,2596,綠意,大觀投資顧問股份有限公司
1130525,2596,綠意,日埜不動產投資顧問股份有限公司
1130525,2596,綠意,海寧投資股份有限公司
1130525,2640,大車隊,林村田
1130525,2640,大車隊,萬事興股份有限公司
1130525,2641,正德,正展投資顧問股份有限公司
1130525,2643,捷迅,李佳慧
1130525,2643,捷迅,顧城明
1130525,2718,晶悅,金基投資股份有限公司
1130525,2718,晶悅,長邑投資股份有限公司
1130525,2718,晶悅,智邑投資股份有限公司
1130525,2719,燦星旅,慶欣欣鋼鐵股份有限公司
1130525,2724,藝舍-KY,ＦＵＲＡＭＡ  ＨＯＴＥＬＳ  ＩＮＴＥＲＮＡＴＩＯＮＡＬ  ＭＡＮＡＧＥＭＥＮＴ  ＩＮＣ
1130525,2724,藝舍-KY,張麗玲
1130525,2726,雅茗-KY,YUMMY TOWN INTERNATIONAL LTD．(薩摩亞)
1130525,2726,雅茗-KY,吳伯超
1130525,2729,瓦城,哲泰股份有限公司
1130525,2729,瓦城,徐承義
1130525,2732,六角,亨泰國際投資控股有限公司
1130525,2732,六角,寬容投資有限公司
1130525,2734,易飛網,金點資產管理有限公司
1130525,2736,富野,勝達投資股份有限公司
1130525,2740,天蔥,晶悅國際企業股份有限公司
1130525,2740,天蔥,晶碩國際企業股份有限公司
1130525,2743,山富,陳國森
1130525,2743,山富,富仲投資有限公司
1130525,2745,五福,許順富
1130525,2745,五福,陳珮璘
1130525,2752,豆府,貝納投資有限公司
1130525,2752,豆府,陳莉莉
1130525,2752,豆府,緯達國際投資事業有限公司
1130525,2754,亞洲藏壽司,"日商藏壽司股份有限公司(KURA SUSHI,INC.)"
1130525,2755,揚秦,元裕投資有限公司
1130525,2756,聯發國際,李淑芬
1130525,2756,聯發國際,聯煌事業股份有限公司
1130525,2916,滿心,日商株式會社ＤＥＳＣＥＮＴＥ
1130525,2924,宏太-KY,台新國際商業銀行受託保管天使空間有限公司投資專戶
1130525,2924,宏太-KY,台新國際商業銀行受託保管北川有限公司投資專戶
1130525,2924,宏太-KY,台新國際商業銀行受託保管美興控股有限公司投資專戶
1130525,2926,誠品生活,誠品股份有限公司
1130525,2937,集雅社,集利投資股份有限公司
1130525,2941,米斯特,可霖有限公司
1130525,2947,振宇五金,洪國展
1130525,2947,振宇五金,曾善
1130525,2948,寶陞,竹昇有限公司
1130525,2948,寶陞,雲杉國際股份有限公司
1130525,2949,欣新網,林尹川
1130525,2949,欣新網,欣臨企業股份有限公司
1130525,2949,欣新網,新竹物流股份有限公司
1130525,3064,泰偉,莊周文
1130525,3064,泰偉,楊南平
1130525,3066,李洲,李明順
1130525,3067,全域,台耀科技股份有限公司
1130525,3067,全域,康健投資股份有限公司
1130525,3071,協禧,康勛股份有限公司
1130525,3071,協禧,康達投資股份有限公司
1130525,3071,協禧,嘉泰投資開發股份有限公司
1130525,3083,網龍,智冠科技（股）公司
1130525,3086,華義,GIVEN BUSINESS INC.
1130525,3086,華義,網銀國際股份有限公司
1130525,3088,艾訊,研華股份有限公司
1130525,3093,港建*,王氏港建國際（集團）有限公司
1130525,3095,及成,張正寬
1130525,3095,及成,張翠雲
1130525,3114,好德,陳國鴻
1130525,3115,富榮綱,劉文禎
1130525,3128,昇銳,江添貴
1130525,3131,弘塑,張鴻泰
1130525,3147,大綜,怡綜國際投資有限公司
1130525,3162,精確,CHEERPLAN(HK)LIMITED
1130525,3169,亞信,達發科技股份有限公司
1130525,3171,新洲,炎洲股份有限公司
1130525,3171,新洲,萬洲化學股份有限公司
1130525,3176,基亞,云辰電子開發股份有限公司
1130525,3178,公準,路社投資股份有限公司
1130525,3188,鑫龍騰,天玉投資開發股份有限公司
1130525,3188,鑫龍騰,黃學藤
1130525,3217,優群,冠澤股份有限公司
1130525,3218,大學光,林丕容
1130525,3219,倚強科,艾瑞克森資本股份有限公司
1130525,3219,倚強科,拉格納資本股份有限公司
1130525,3219,倚強科,英楷投資有限公司
1130525,3224,三顧,吳振隆
1130525,3226,至寶電,至誠投資股份有限公司
1130525,3232,昱捷,石幸兒
1130525,3232,昱捷,蔡棟國
1130525,3234,光環,台灣光罩股份有限公司
1130525,3265,台星科,格星股份有限公司
1130525,3272,東碩,曹賜正
1130525,3272,東碩,許茲福
1130525,3276,宇環,志超科技股份有限公司
1130525,3284,太普高,逸升投資股份有限公司
1130525,3284,太普高,麗升投資股份有限公司
1130525,3285,微端,鴻利投資股份有限公司
1130525,3287,廣寰科,睿丰投資股份有限公司
1130525,3290,東浦,美律實業股份有限公司
1130525,3294,英濟,英範投資股份有限公司
1130525,3306,鼎天,廣達電腦股份有限公司
1130525,3310,佳穎,采略投資股份有限公司
1130525,3313,斐成,上曜建設開發股份有限公司
1130525,3313,斐成,永捷創新科技股份有限公司
1130525,3313,斐成,張祐銘
1130525,3324,雙鴻,林育申
1130525,3332,幸康,呂惠清
1130525,3332,幸康,鄭水竹
1130525,3332,幸康,鄭震三
1130525,3354,律勝,同盈投資有限公司
1130525,3354,律勝,勇盈投資股份有限公司
1130525,3354,律勝,奕盈投資股份有限公司
1130525,3357,臺慶科,第一商業銀行受託保管西普爾控股（新）私營有限公司投資專戶
1130525,3360,尚立,簡剛民
1130525,3362,先進光,大立光電股份有限公司
1130525,3372,典範,創見資訊股份有限公司
1130525,3373,熱映,遠見科技股份有限公司
1130525,3374,精材,台灣積體電路製造股份有限公司
1130525,3379,彬台,擎邦國際科技工程股份有限公司
1130525,3388,崇越電,崇越開發股份有限公司
1130525,3390,旭軟,鉅祥企業股份有限公司
1130525,3402,漢科,漢唐集成股份有限公司
1130525,3426,台興,台灣晶技股份有限公司
1130525,3430,奇鈦科,龍筱芬
1130525,3434,哲固,王永順
1130525,3438,類比科,致新科技股份有限公司
1130525,3465,進泰電子,泰弘資產管理股份有限公司
1130525,3465,進泰電子,進泰資產管理股份有限公司
1130525,3466,德晉,恆盈泰資本投資有限公司
1130525,3479,安勤,仁寶電腦工業股份有限公司
1130525,3489,森寶,正義投資有限公司
1130525,3489,森寶,民瑋投資股份有限公司
1130525,3489,森寶,禾潤投資股份有限公司
1130525,3489,森寶,春宇投資有限公司
1130525,3489,森寶,達容發投資有限公司
1130525,3492,長盛,東盛投資有限公司
1130525,3499,環天科,陳賢哲
1130525,3499,環天科,鄭賢隆
1130525,3511,矽瑪,佳世達科技股份有限公司
1130525,3512,皇龍,陳文成
1130525,3512,皇龍,陳文宏
1130525,3512,皇龍,陳江山
1130525,3516,亞帝歐,帝祥投資股份有限公司
1130525,3516,亞帝歐,帝興投資股份有限公司
1130525,3520,華盈,永鼎投資有限公司
1130525,3520,華盈,樺泰管理顧問有限公司
1130525,3521,鴻翊,恆家事業股份有限公司
1130525,3523,迎輝,郭文進
1130525,3523,迎輝,鹿林開發股份有限公司
1130525,3526,凡甲,強茂股份有限公司
1130525,3537,堡達,陳朝陽
1130525,3540,曜越,林培熙
1130525,3551,世禾,冠麟投資股份有限公司
1130525,3555,博士旺,兆隆投資股份有限公司
1130525,3555,博士旺,威剛科技股份有限公司
1130525,3556,禾瑞亞,友禾投資股份有限公司
1130525,3558,神準,神腦國際企業股份有限公司
1130525,3564,其陽,友通資訊股份有限公司
1130525,3564,其陽,其鑫股份有限公司
1130525,3570,大塚,日商株式會社大塚商會
